0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:48 -0700] "GET /work-order-service/api-docs/lib/highlight.7.3.pack.js HTTP/1.1" 200 7499
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:48 -0700] "GET /work-order-service/api-docs/lib/handlebars-2.0.0.js HTTP/1.1" 200 48517
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:48 -0700] "GET /work-order-service/api-docs/lib/marked.js HTTP/1.1" 200 28156
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:48 -0700] "GET /work-order-service/api-docs/lib/swagger-oauth.js HTTP/1.1" 200 11185
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:48 -0700] "GET /work-order-service/api-docs/css/print.css HTTP/1.1" 200 42587
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:49 -0700] "GET /work-order-service/api-docs/images/logo_small.png HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:49 -0700] "GET /work-order-service/api-docs/fonts/DroidSans.ttf HTTP/1.1" 200 41028
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:49 -0700] "GET /work-order-service/api-docs/fonts/DroidSans-Bold.ttf HTTP/1.1" 200 42480
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:49 -0700] "GET /work-order-service/api-docs/images/favicon-16x16.png HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:49 -0700] "GET /work-order-service/api-docs/images/favicon-32x32.png HTTP/1.1" 200 1654
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:40:49 -0700] "GET /work-order-service/1.0/swagger.json HTTP/1.1" 200 140319
